dataset,seed,proposal,batchExecution,elapsedSeconds,sampling,origin,feasible,FWHM,Inter sample RT tolerance,MS1 noise level,MZ tolerance option,Min consecutive,Min height,Chrom. Threshold,Top-to-edge ratio,MZ tolerance / m/z,MZ tolerance / ppm,Yasin isotope score,Rows (incl. isotopes),Single file rows / %,Rows without isotopes / %,Runtime / s,Total features,Median row height,Cache hit,Row height q10,Surrogate numerical fallback
thermo-20y-qc,42,1,1,3.7668368,SOBOL,Estimate,true,0.030181679874658585,0.04613828659057617,5.0,2.0,5.0,434925.40625,0.85,1.7,0.003,7.0,3014.3277211944846,7160,21.1,18.2,2.944,28866,1274859.4375,false,527478.6875,
thermo-20y-qc,42,2,1,3.7722057,SOBOL,Estimate,true,0.030181679874658585,0.04613828659057617,5.0,2.0,5.0,434925.40625,0.85,1.7,0.003,7.0,3014.3277211944846,7160,21.1,18.2,0.0,28866,1274859.4375,true,527478.6875,
thermo-20y-qc,42,3,2,13.032899,SOBOL,Perturbed,true,0.01729187648743391,0.0071860013339053366,3.0,1.0,3.0,67739.28510167485,0.5004124503671634,1.5,0.001,5.0,1562.3709930098119,51173,55.8,26.1,8.023,109153,170585.25,false,77138.4453125,
thermo-20y-qc,42,4,3,14.5260402,SOBOL,Perturbed,true,0.04228701177809871,0.032930465816533354,3.3812245995294044,1.0,6.0,609366.2066878629,0.7865979634815683,1.9023469250588243,0.001,5.0,1750.4901123595505,4573,21.3,10.9,1.463,17800,1731940.125,false,728815.40625,
thermo-20y-qc,42,5,4,16.8217792,SOBOL,Perturbed,true,0.02154169239568169,0.0646435280136659,6.618775400470596,3.0,3.0,310421.068522793,0.9134020365184317,1.5,0.005,15.0,2995.277909279745,10466,22.4,27.0,2.245,41402,883721.6875,false,379164.25,
thermo-20y-qc,42,6,5,18.7884351,SOBOL,Perturbed,true,0.025736634187185876,0.03934321114452662,5.7647344735145,3.0,4.0,244691.89465783,0.8200478997873487,2.0451048141128023,0.005,15.0,2716.563553078352,8231,23.7,17.9,1.919,31218,1006559.8125,false,329065.53125,
thermo-20y-qc,42,7,6,21.0553777,SOBOL,Perturbed,true,0.05364615529725428,0.08200808231570553,3.0,2.0,8.0,510042.583086839,0.9581328417553447,1.6044081908106873,0.003,7.0,1836.3755150088286,3237,18.2,11.2,2.246,13592,1819750.0,false,630063.90625,
thermo-20y-qc,42,8,7,22.4011056,SOBOL,Perturbed,true,0.03539444176853242,0.025957703550720166,7.76083851290242,2.0,5.0,773054.2495747295,0.7418671582446552,1.5,0.003,7.0,2391.5575547558756,5521,21.6,15.7,1.314,22509,1880095.0,false,896574.4375,
thermo-20y-qc,42,9,8,24.4859306,SOBOL,Perturbed,true,0.01729187648743391,0.054106958420202286,4.2352655264855,1.0,3.0,370871.2081585577,0.8799521002126512,1.7955918091893126,0.001,5.0,2246.5821186614658,7726,23.0,18.7,2.038,29226,1131939.6875,false,455338.15625,
thermo-20y-qc,42,10,9,25.7970164,SOBOL,Perturbed,true,0.01936876726876156,0.03613474657718858,8.681889306446111,2.0,5.0,340626.4188847131,0.835212795646644,2.160236163305764,0.003,7.0,2007.2229781771503,5999,22.1,17.4,1.276,23370,1405742.0,false,452688.140625,
thermo-20y-qc,42,11,10,27.3048623,SOBOL,Perturbed,true,0.03853717343409046,0.07189569560722288,4.622454356935591,3.0,3.0,677729.2121199957,0.97,1.6528067946169487,0.005,15.0,2265.4845288979745,5077,16.8,17.2,1.483,21524,1794814.375,false,801605.96875,
thermo-20y-qc,42,12,11,29.0782409,SOBOL,Perturbed,true,0.06499402780931683,0.021425522356108003,6.1730633866752065,1.0,3.0,470515.95952665264,0.7666082234522256,1.5,0.001,5.0,1991.2401611010687,8448,24.3,21.6,1.725,31533,1106665.5625,false,545754.5625,
thermo-20y-qc,42,13,12,31.2576577,SOBOL,Perturbed,true,0.027898691032710355,0.04991384700484059,3.0,2.0,7.0,201969.00889579311,0.895944982644779,1.8466329233344008,0.003,7.0,3588.5459490205835,7148,21.2,14.8,2.135,28129,861241.0625,false,268763.0625,
thermo-20y-qc,42,14,13,32.7489673,SOBOL,Perturbed,true,0.023637794858367783,0.02960874738793515,3.8269366133247935,2.0,9.0,402026.97734637087,0.7057926688308607,1.5,0.003,7.0,1312.6778748733536,4395,28.5,13.8,1.462,15792,1181501.0,false,490524.125,
thermo-20y-qc,42,15,14,33.7894636,SOBOL,Perturbed,true,0.04703106746114649,0.058911205727342486,7.129151741645303,1.0,4.0,936579.874486217,0.864787204353356,1.7471932053830512,0.001,5.0,1651.182092893117,4258,17.8,13.7,1.015,17870,2319022.5,false,1085278.625,
