dataset,seed,proposal,batchExecution,elapsedSeconds,sampling,origin,feasible,FWHM,Inter sample RT tolerance,MS1 noise level,MZ tolerance option,Min consecutive,Min height,Chrom. Threshold,Top-to-edge ratio,MZ tolerance / m/z,MZ tolerance / ppm,Yasin isotope score,Rows (incl. isotopes),Single file rows / %,Rows without isotopes / %,Runtime / s,Total features,Median row height,Cache hit,Row height q10
thermo-20y-qc,7,1,1,3.2834115,GAUSSIAN,Estimate,true,0.030181679874658585,0.04613828659057617,5.0,2.0,5.0,434925.40625,0.85,1.7,0.003,7.0,3014.3277211944846,7160,21.1,18.2,2.677,28866,1274859.4375,false,527478.6875
thermo-20y-qc,7,2,1,3.3065599,GAUSSIAN,Estimate,true,0.030181679874658585,0.04613828659057617,5.0,2.0,5.0,434925.40625,0.85,1.7,0.003,7.0,3014.3277211944846,7160,21.1,18.2,0.0,28866,1274859.4375,true,527478.6875
thermo-20y-qc,7,3,2,5.8638536,GAUSSIAN,Perturbed,true,0.04126335330768097,0.020376426608948273,4.05722784439998,3.0,3.0,349222.0841124346,0.799218778371101,1.6825087895971231,0.005,15.0,3068.916916001773,9684,25.2,20.0,2.476,36096,948588.5,false,415652.78125
thermo-20y-qc,7,4,3,7.2085271,GAUSSIAN,Perturbed,true,0.024963203980960164,0.031108057187906817,6.06056743069053,1.0,7.0,525902.1581953112,0.8480770503968929,1.5651523999247694,0.001,5.0,1658.2725142857144,4577,23.7,14.2,1.305,17500,1625758.0,false,638182.75
thermo-20y-qc,7,5,4,9.6019352,GAUSSIAN,Perturbed,true,0.04904852573907955,0.04083535067402765,5.914778012160516,1.0,3.0,269975.9224993604,0.7116607180013175,1.6328848637531879,0.001,5.0,1784.9698362617635,10736,28.7,21.9,2.317,36766,793389.90625,false,328747.453125
thermo-20y-qc,7,6,5,10.4678047,GAUSSIAN,Perturbed,true,0.0352854691331628,0.036593156604568806,9.340881425780097,3.0,8.0,507416.31386461295,0.6592324680452285,1.8280941902949732,0.005,15.0,995.1572779439101,3168,24.0,14.4,0.844,12373,1824012.75,false,635857.8125
thermo-20y-qc,7,7,6,12.2855425,GAUSSIAN,Perturbed,true,0.03267787029113412,0.17199100747961088,3.0,2.0,3.0,656448.0382762541,0.97,1.5,0.003,7.0,3601.1253516723978,5842,16.5,13.8,1.776,25592,1642305.75,false,761323.96875
thermo-20y-qc,7,8,7,13.540038,GAUSSIAN,Perturbed,true,0.01729187648743391,0.0412394570450238,3.0,1.0,9.0,457331.62484903954,0.97,1.6456102346234824,0.001,5.0,838.8735669478693,2392,20.9,11.0,1.239,9246,1820556.3125,false,603514.96875
thermo-20y-qc,7,9,8,15.3007803,GAUSSIAN,Perturbed,true,0.04293258293184669,0.03915412304402263,6.739136029379398,2.0,3.0,441528.3595222393,0.8781281987165234,1.5,0.003,7.0,2966.087664073172,8557,23.4,23.4,1.705,33674,1096025.875,false,514310.40625
thermo-20y-qc,7,10,9,16.4627862,GAUSSIAN,Perturbed,true,0.01729187648743391,0.0546247223391407,9.303739826704659,3.0,3.0,574205.2442547331,0.6626534646140984,2.479059675996951,0.005,15.0,1316.254615910645,4381,19.6,14.8,1.135,17548,2048971.5,false,718258.0625
thermo-20y-qc,7,11,10,17.3098414,GAUSSIAN,Perturbed,true,0.05749024831112985,0.018905460881734986,7.220911957041245,1.0,6.0,1067803.320938743,0.631604411088137,2.2726791763100103,0.001,5.0,924.7973874635843,2686,18.8,9.5,0.828,10641,3042172.0,false,1286312.4375
thermo-20y-qc,7,12,11,18.9204319,GAUSSIAN,Perturbed,true,0.03999573687098655,0.02044494877680507,3.6558739420793724,1.0,3.0,580585.2413414837,0.84294461548264,2.047770426331711,0.001,5.0,1978.6088608174286,5739,22.8,13.2,1.572,21849,1592448.625,false,691102.9375
thermo-20y-qc,7,13,12,20.8248752,GAUSSIAN,Perturbed,true,0.01729187648743391,0.0294984475534401,6.51850512945186,3.0,3.0,366091.4324282165,0.7820678413702311,1.5818995342488742,0.005,15.0,2819.7768603761638,9984,24.2,22.7,1.843,37909,974283.09375,false,434912.765625
thermo-20y-qc,7,14,13,22.0042474,GAUSSIAN,Perturbed,true,0.056426274521181465,0.03395177327770523,7.479780308021494,3.0,3.0,774656.5693982973,0.97,1.6921737656817217,0.005,15.0,1770.859493396839,4377,16.9,17.4,1.151,18476,2076975.375,false,926920.8125
thermo-20y-qc,7,15,14,22.6719147,GAUSSIAN,Perturbed,true,0.044809884233174474,0.08561813276731021,8.794484989679834,1.0,11.0,531051.2820762681,0.7150930466013727,1.681010780945152,0.001,5.0,344.15442367142646,1864,25.8,13.0,0.656,6793,1816129.125,false,660572.9375
thermo-20y-qc,7,16,15,23.8728376,GAUSSIAN,Perturbed,true,0.04247826865662002,0.046562697744305,9.809242129494809,4.0,3.0,472689.6663401982,0.76670587199344,2.108754444348662,0.008,15.0,1608.3900280491343,5258,22.0,16.8,1.148,20678,1678213.0625,false,606970.59375
thermo-20y-qc,7,17,16,25.1417976,GAUSSIAN,Perturbed,true,0.04061908809801173,0.0919945935967332,4.673357508085702,3.0,4.0,794799.968771339,0.695848782812946,1.9039315168044864,0.005,15.0,2191.687991839114,4886,17.2,14.1,1.239,20586,2002848.0625,false,938511.375
thermo-20y-qc,7,18,17,27.2990678,GAUSSIAN,Perturbed,true,0.023425347855079135,0.021908862392396217,5.359758295864549,1.0,4.0,298643.92259969056,0.8037408927052907,1.5,0.001,5.0,2258.6297949973596,12059,29.5,22.9,2.082,41658,809045.625,false,360612.671875
