dataset,seed,proposal,batchExecution,elapsedSeconds,sampling,origin,feasible,FWHM,Inter sample RT tolerance,MS1 noise level,MZ tolerance option,Min consecutive,Min height,Chrom. Threshold,Top-to-edge ratio,MZ tolerance / m/z,MZ tolerance / ppm,Yasin isotope score,Origin,Rows (incl. isotopes),Single file rows / %,Rows without isotopes / %,Runtime / s,Total features,Median row height,Cache hit,Row height q10
thermo-20y-qc,42,1,1,3.8266853,GAUSSIAN,Estimate,true,0.030181679874658585,0.04613828659057617,5.0,2.0,5.0,434925.40625,0.85,1.7,0.003,7.0,3014.3277211944846,Estimate,7160,21.1,18.2,2.939,28866,1274859.4375,false,527478.6875
thermo-20y-qc,42,2,1,3.8313461,GAUSSIAN,Estimate,true,0.030181679874658585,0.04613828659057617,5.0,2.0,5.0,434925.40625,0.85,1.7,0.003,7.0,3014.3277211944846,Estimate,7160,21.1,18.2,0.0,28866,1274859.4375,true,527478.6875
thermo-20y-qc,42,3,2,5.8781279,GAUSSIAN,Pattern search,true,0.05347165979891305,0.04613828659057617,5.0,2.0,5.0,434925.40625000006,0.85,1.7,0.003,7.0,2708.4434017811145,Pattern search,6785,21.4,18.2,1.996,27174,1268385.375,false,525140.375
thermo-20y-qc,42,4,3,8.1921364,GAUSSIAN,Pattern search,true,0.017291876487433914,0.04613828659057617,5.0,2.0,5.0,434925.40625000006,0.85,1.7,0.003,7.0,3058.3425989319458,Pattern search,7212,20.8,18.5,2.241,29212,1275800.6875,false,527478.6875
thermo-20y-qc,42,5,4,10.4377203,GAUSSIAN,Pattern search,true,0.017291876487433914,0.2726483345031737,5.0,2.0,5.0,434925.40625000006,0.85,1.7,0.003,7.0,2354.9411601250436,Pattern search,6831,17.8,17.2,2.188,28790,1407324.5,false,542599.875
thermo-20y-qc,42,6,5,12.6705869,GAUSSIAN,Pattern search,true,0.017291876487433914,0.004055451030678848,5.0,2.0,5.0,434925.40625000006,0.85,1.7,0.003,7.0,2031.4764512595839,Pattern search,8713,33.5,18.5,2.156,29216,1274116.125,false,527478.6875
thermo-20y-qc,42,7,6,14.517464,GAUSSIAN,Pattern search,true,0.017291876487433914,0.04613828659057617,7.4,2.0,5.0,434925.40625000006,0.85,1.7,0.003,7.0,2732.736005726557,Pattern search,6921,21.0,18.8,1.781,27940,1328856.75,false,532281.625
thermo-20y-qc,42,8,7,17.0254729,GAUSSIAN,Pattern search,true,0.017291876487433914,0.04613828659057617,3.0,2.0,5.0,434925.40625000006,0.85,1.7,0.003,7.0,4595.651809124279,Pattern search,7977,20.7,15.4,2.434,32419,1158579.125,false,515033.265625
thermo-20y-qc,42,9,8,19.6111818,GAUSSIAN,Pattern search,true,0.017291876487433914,0.04613828659057617,3.0,3.0,5.0,434925.40625000006,0.85,1.7,0.005,15.0,4360.028995564674,Pattern search,8158,20.0,15.3,2.511,33143,1147201.5,false,513424.421875
thermo-20y-qc,42,10,9,22.2383581,GAUSSIAN,Pattern search,true,0.017291876487433914,0.04613828659057617,3.0,1.0,5.0,434925.40625000006,0.85,1.7,0.001,5.0,3343.1740646372537,Pattern search,7693,22.3,14.6,2.548,29828,1183575.0,false,515281.34375
