dataset,distribution,value
thermo-20y-qc,edgeIntensities,6007.8486328125
thermo-20y-qc,edgeIntensities,6455.884765625
thermo-20y-qc,edgeIntensities,6474.23681640625
thermo-20y-qc,edgeIntensities,6695.15478515625
thermo-20y-qc,edgeIntensities,6772.38671875
thermo-20y-qc,edgeIntensities,7001.93359375
thermo-20y-qc,edgeIntensities,7397.6884765625
thermo-20y-qc,edgeIntensities,7532.115234375
thermo-20y-qc,edgeIntensities,7576.1181640625
thermo-20y-qc,edgeIntensities,7672.95703125
thermo-20y-qc,edgeIntensities,7679.79248046875
thermo-20y-qc,edgeIntensities,7774.37939453125
thermo-20y-qc,edgeIntensities,7804.47998046875
thermo-20y-qc,edgeIntensities,7827.92529296875
thermo-20y-qc,edgeIntensities,7837.4052734375
thermo-20y-qc,edgeIntensities,7855.009765625
thermo-20y-qc,edgeIntensities,7880.36962890625
thermo-20y-qc,edgeIntensities,7990.72509765625
thermo-20y-qc,edgeIntensities,8001.0556640625
thermo-20y-qc,edgeIntensities,8046.36376953125
thermo-20y-qc,edgeIntensities,8090.3017578125
thermo-20y-qc,edgeIntensities,8118.8984375
thermo-20y-qc,edgeIntensities,8284.728515625
thermo-20y-qc,edgeIntensities,8294.2138671875
thermo-20y-qc,edgeIntensities,8309.6611328125
thermo-20y-qc,edgeIntensities,8432.4326171875
thermo-20y-qc,edgeIntensities,8482.599609375
thermo-20y-qc,edgeIntensities,8532.3125
thermo-20y-qc,edgeIntensities,8535.134765625
thermo-20y-qc,edgeIntensities,8574.16015625
thermo-20y-qc,edgeIntensities,8588.3251953125
thermo-20y-qc,edgeIntensities,8591.2958984375
thermo-20y-qc,edgeIntensities,8641.1435546875
thermo-20y-qc,edgeIntensities,8743.458984375
thermo-20y-qc,edgeIntensities,8761.7275390625
thermo-20y-qc,edgeIntensities,8777.431640625
thermo-20y-qc,edgeIntensities,8784.193359375
thermo-20y-qc,edgeIntensities,8901.890625
thermo-20y-qc,edgeIntensities,8913.076171875
thermo-20y-qc,edgeIntensities,8987.396484375
thermo-20y-qc,edgeIntensities,9031.6416015625
thermo-20y-qc,edgeIntensities,9105.9072265625
thermo-20y-qc,edgeIntensities,9140.224609375
thermo-20y-qc,edgeIntensities,9269.5322265625
thermo-20y-qc,edgeIntensities,9310.6552734375
thermo-20y-qc,edgeIntensities,9346.1083984375
thermo-20y-qc,edgeIntensities,9373.6875
thermo-20y-qc,edgeIntensities,9389.51953125
thermo-20y-qc,edgeIntensities,9414.322265625
thermo-20y-qc,edgeIntensities,9498.5322265625
thermo-20y-qc,edgeIntensities,9506.16796875
thermo-20y-qc,edgeIntensities,9519.15625
thermo-20y-qc,edgeIntensities,9533.8525390625
thermo-20y-qc,edgeIntensities,9539.81640625
thermo-20y-qc,edgeIntensities,9587.4228515625
thermo-20y-qc,edgeIntensities,9603.6484375
thermo-20y-qc,edgeIntensities,9615.2236328125
thermo-20y-qc,edgeIntensities,9616.591796875
thermo-20y-qc,edgeIntensities,9662.02734375
thermo-20y-qc,edgeIntensities,9669.978515625
thermo-20y-qc,edgeIntensities,9695.419921875
thermo-20y-qc,edgeIntensities,9702.74609375
thermo-20y-qc,edgeIntensities,9727.1416015625
thermo-20y-qc,edgeIntensities,9807.8330078125
thermo-20y-qc,edgeIntensities,9839.1435546875
thermo-20y-qc,edgeIntensities,9857.1376953125
thermo-20y-qc,edgeIntensities,9858.27734375
thermo-20y-qc,edgeIntensities,9876.50390625
thermo-20y-qc,edgeIntensities,9946.8388671875
thermo-20y-qc,edgeIntensities,9962.5537109375
