name	mz	charge	formula	ccs
C5H12NO2	118.086255	1+	C2H3NO2(CH3)3	121.3
C6H19N3O6P3	322.048123	1+	P3N3(OCH3)6H	153.73
C12H19F12N3O6P3	622.028961	1+	P3N3(OCH3CF2)6H	202.96
C18H19F24N3O6P3	922.009799	1+	P3N3(OCH3CF2CF2)6H	243.64
C24H19F36N3O6P3	1221.990637	1+	P3N3(OCH3C2F4CF2)6H	282.2
C30H19F48N3O6P3	1521.971475	1+	P3N3(OCH3C3F6CF2)6H	316.96
C36H19F60N3O6P3	1821.952313	1+	P3N3(OCH3C4F8CF2)6H	351.25
C42H19F72N3O6P3	2121.93315	1+	P3N3(OCH3C5F10CF2)6H	383.03
C48H19F84N3O6P3	2421.913988	1+	P3N3(OCH3C6F12CF2)6H	412.96
C54H19F96N3O6P3	2721.894826	1+	P3N3(OCH3C7F14CF2)6H	441.21
C2F3O2	112.985587	-1	C2F3O2	
C6HF9N3O	301.998139	-1	C3N3OH(CF3)3	140.04
C12HF21N3O	601.978977	-1	C3N3OH((CF2)2CF3)3	180.77
C20H18F27N3O8P3	1033.98811	-1	P3N3(OCH3CF2CF2)6C2F3O2	255.34
C26H18F39N3O8P3	1333.968947	-1	P3N3(OCH3C2F4CF2)6C2F3O2	284.76
C32H18F51N3O8P3	1633.949785	-1	P3N3(OCH3C3F6CF2)6C2F3O2	319.03
C38H18F63N3O8P3	1933.930623	-1	P3N3(OCH3C4F8CF2)6C2F3O2	352.55
C44H18F75N3O8P3	2233.911461	-1	P3N3(OCH3C5F10CF2)6C2F3O2	380.74
C50H18F87N3O8P3	2533.892299	-1	P3N3(OCH3C6F12CF2)6C2F3O2	412.99
C56H18F99N3O8P3	2833.873137	-1	P3N3(OCH3C7F14CF2)6C2F3O2	432.62
Purine	119.03632	-1	C5H3N4	114.6
