name	mz	charge	formula
Na(NaCOOH)1	90.976644	1+	Na(NaCOOH)1
Na(NaCOOH)2	158.964068	1+	Na(NaCOOH)2
Na(NaCOOH)3	226.951491	1+	Na(NaCOOH)3
Na(NaCOOH)4	294.938915	1+	Na(NaCOOH)4
Na(NaCOOH)5	362.926338	1+	Na(NaCOOH)5
Na(NaCOOH)6	430.913762	1+	Na(NaCOOH)6
Na(NaCOOH)7	498.901186	1+	Na(NaCOOH)7
Na(NaCOOH)8	566.888609	1+	Na(NaCOOH)8
Na(NaCOOH)9	634.876033	1+	Na(NaCOOH)9
Na(NaCOOH)10	702.863456	1+	Na(NaCOOH)10
Na(NaCOOH)11	770.85088	1+	Na(NaCOOH)11
Na(NaCOOH)12	838.838303	1+	Na(NaCOOH)12
Na(NaCOOH)13	906.825727	1+	Na(NaCOOH)13
Na(NaCOOH)14	974.81315	1+	Na(NaCOOH)14
Na(NaCOOH)15	1042.800574	1+	Na(NaCOOH)15
Na(NaCOOH)16	1110.787998	1+	Na(NaCOOH)16
Na(NaCOOH)17	1178.775421	1+	Na(NaCOOH)17
Na(NaCOOH)18	1246.762845	1+	Na(NaCOOH)18
Na(NaCOOH)19	1314.750268	1+	Na(NaCOOH)19
Na(NaCOOH)20	1382.737692	1+	Na(NaCOOH)20
Na(NaCOOH)21	1450.725115	1+	Na(NaCOOH)21
Na(NaCOOH)22	1518.712539	1+	Na(NaCOOH)22
HCOO(NaCOOH)1	112.985626	-1	HCOO(NaCOOH)1
HCOO(NaCOOH)2	180.97305	-1	HCOO(NaCOOH)2
HCOO(NaCOOH)3	248.960474	-1	HCOO(NaCOOH)3
HCOO(NaCOOH)4	316.947897	-1	HCOO(NaCOOH)4
HCOO(NaCOOH)5	384.935321	-1	HCOO(NaCOOH)5
HCOO(NaCOOH)6	452.922744	-1	HCOO(NaCOOH)6
HCOO(NaCOOH)7	520.910168	-1	HCOO(NaCOOH)7
HCOO(NaCOOH)8	588.897591	-1	HCOO(NaCOOH)8
HCOO(NaCOOH)9	656.885015	-1	HCOO(NaCOOH)9
HCOO(NaCOOH)10	724.872438	-1	HCOO(NaCOOH)10
HCOO(NaCOOH)11	792.859862	-1	HCOO(NaCOOH)11
HCOO(NaCOOH)12	860.847285	-1	HCOO(NaCOOH)12
HCOO(NaCOOH)13	928.834709	-1	HCOO(NaCOOH)13
HCOO(NaCOOH)14	996.822133	-1	HCOO(NaCOOH)14
HCOO(NaCOOH)15	1064.809556	-1	HCOO(NaCOOH)15
HCOO(NaCOOH)16	1132.79698	-1	HCOO(NaCOOH)16
HCOO(NaCOOH)17	1200.784403	-1	HCOO(NaCOOH)17
HCOO(NaCOOH)18	1268.771827	-1	HCOO(NaCOOH)18
HCOO(NaCOOH)19	1336.75925	-1	HCOO(NaCOOH)19
HCOO(NaCOOH)20	1404.746674	-1	HCOO(NaCOOH)20
HCOO(NaCOOH)21	1472.734097	-1	HCOO(NaCOOH)21
