name	mz	charge	formula
HCOO(NaCOOH)1	112.985626	-1	HCOO(NaCOOH)1
HCOO(NaCOOH)2	180.97305	-1	HCOO(NaCOOH)2
HCOO(NaCOOH)3	248.960474	-1	HCOO(NaCOOH)3
HCOO(NaCOOH)4	316.947897	-1	HCOO(NaCOOH)4
HCOO(NaCOOH)5	384.935321	-1	HCOO(NaCOOH)5
HCOO(NaCOOH)6	452.922744	-1	HCOO(NaCOOH)6
HCOO(NaCOOH)7	520.910168	-1	HCOO(NaCOOH)7
HCOO(NaCOOH)8	588.897591	-1	HCOO(NaCOOH)8
HCOO(NaCOOH)9	656.885015	-1	HCOO(NaCOOH)9
HCOO(NaCOOH)10	724.872438	-1	HCOO(NaCOOH)10
HCOO(NaCOOH)11	792.859862	-1	HCOO(NaCOOH)11
HCOO(NaCOOH)12	860.847285	-1	HCOO(NaCOOH)12
HCOO(NaCOOH)13	928.834709	-1	HCOO(NaCOOH)13
HCOO(NaCOOH)14	996.822133	-1	HCOO(NaCOOH)14
HCOO(NaCOOH)15	1064.809556	-1	HCOO(NaCOOH)15
HCOO(NaCOOH)16	1132.79698	-1	HCOO(NaCOOH)16
HCOO(NaCOOH)17	1200.784403	-1	HCOO(NaCOOH)17
HCOO(NaCOOH)18	1268.771827	-1	HCOO(NaCOOH)18
HCOO(NaCOOH)19	1336.75925	-1	HCOO(NaCOOH)19
HCOO(NaCOOH)20	1404.746674	-1	HCOO(NaCOOH)20
HCOO(NaCOOH)21	1472.734097	-1	HCOO(NaCOOH)21
