name	mz	charge	formula
Na(NaCOOH)1	90.976644	1+	Na(NaCOOH)1
Na(NaCOOH)2	158.964068	1+	Na(NaCOOH)2
Na(NaCOOH)3	226.951491	1+	Na(NaCOOH)3
Na(NaCOOH)4	294.938915	1+	Na(NaCOOH)4
Na(NaCOOH)5	362.926338	1+	Na(NaCOOH)5
Na(NaCOOH)6	430.913762	1+	Na(NaCOOH)6
Na(NaCOOH)7	498.901186	1+	Na(NaCOOH)7
Na(NaCOOH)8	566.888609	1+	Na(NaCOOH)8
Na(NaCOOH)9	634.876033	1+	Na(NaCOOH)9
Na(NaCOOH)10	702.863456	1+	Na(NaCOOH)10
Na(NaCOOH)11	770.85088	1+	Na(NaCOOH)11
Na(NaCOOH)12	838.838303	1+	Na(NaCOOH)12
Na(NaCOOH)13	906.825727	1+	Na(NaCOOH)13
Na(NaCOOH)14	974.81315	1+	Na(NaCOOH)14
Na(NaCOOH)15	1042.800574	1+	Na(NaCOOH)15
Na(NaCOOH)16	1110.787998	1+	Na(NaCOOH)16
Na(NaCOOH)17	1178.775421	1+	Na(NaCOOH)17
Na(NaCOOH)18	1246.762845	1+	Na(NaCOOH)18
Na(NaCOOH)19	1314.750268	1+	Na(NaCOOH)19
Na(NaCOOH)20	1382.737692	1+	Na(NaCOOH)20
Na(NaCOOH)21	1450.725115	1+	Na(NaCOOH)21
Na(NaCOOH)22	1518.712539	1+	Na(NaCOOH)22
