name	formula	adduct	mz
PFS-1082	C6H12O4	M+Na	171.0627796
PFS-1022	C12H22O8	M+Na	317.1206884
PFS-2082	C16H28O10	M+Na	403.1574678
PFS-2092	C19H34O10	M+Na	445.204418
PFS-1042	C25H44O16	M+Na	623.252156
PFS-3082	C36H60O22	M+Na	867.3468443
PFS-4012	C77H126O46	M+Na	1809.741247
PFS-4122	C82H128O46	M+Na	1871.756897
PFS-2052	C80H132O50	M+Na	1915.767856
PFS-1082	C6H12O4	M+H	149.0808353
PFS-1022	C12H22O8	M+H	295.1387441
PFS-2082	C16H28O10	M+H	381.1755235
PFS-2092	C19H34O10	M+H	423.2224737
PFS-1042	C25H44O16	M+H	601.2702118
PFS-3082	C36H60O22	M+H	845.3649
PFS-4012	C77H126O46	M+H	1787.759303
PFS-4122	C82H128O46	M+H	1849.774953
PFS-2052	C80H132O50	M+H	1893.785912
PFS-4012	C77H126O46	M+2Na	916.365234
PFS-4122	C82H128O46	M+2Na	947.373059
PFS-2052	C80H132O50	M+2Na	969.3785383
PFS-4012	C77H126O46	M+2H	894.3832897
PFS-4122	C82H128O46	M+2H	925.3911148
PFS-2052	C80H132O50	M+2H	947.3965941
